file,iterations_per_move,game_index,game_total,llm_side,winner,llm_result
output3.txt,400,35,50,first,-1,win
output3.txt,400,36,50,second,1,win
output3.txt,400,37,50,first,1,loss
output3.txt,400,38,50,second,1,win
output3.txt,400,39,50,first,-1,win
output3.txt,400,40,50,second,-1,loss
output3.txt,400,41,50,first,-1,win
output3.txt,400,42,50,second,1,win
output3.txt,400,43,50,first,1,loss
output3.txt,400,44,50,second,1,win
output3.txt,400,45,50,first,-1,win
output3.txt,400,46,50,second,1,win
output3.txt,400,47,50,first,-1,win
output3.txt,400,48,50,second,1,win
output3.txt,400,49,50,first,1,loss
output3.txt,400,50,50,second,1,win
output.txt,800,1,50,first,-1,win
output.txt,800,2,50,second,1,win
output.txt,800,3,50,first,0,draw
output.txt,800,4,50,second,-1,loss
output.txt,800,5,50,first,-1,win
output.txt,800,6,50,second,1,win
output.txt,800,7,50,first,-1,win
output.txt,800,8,50,second,-1,loss
output.txt,800,9,50,first,1,loss
output.txt,800,10,50,second,1,win
output.txt,800,11,50,first,0,draw
output.txt,800,12,50,second,1,win
output.txt,800,13,50,first,-1,win
output.txt,800,14,50,second,1,win
output.txt,800,15,50,first,1,loss
output.txt,800,16,50,second,1,win
output.txt,800,17,50,first,1,loss
output.txt,800,18,50,second,1,win
output.txt,800,19,50,first,-1,win
output.txt,800,20,50,second,1,win
output.txt,800,21,50,first,-1,win
output.txt,800,22,50,second,1,win
output.txt,800,23,50,first,1,loss
output.txt,800,24,50,second,-1,loss
output.txt,800,25,50,first,-1,win
output.txt,800,26,50,second,-1,loss
output.txt,800,27,50,first,1,loss
output.txt,800,28,50,second,-1,loss
output.txt,800,29,50,first,-1,win
output.txt,800,30,50,second,-1,loss
output.txt,800,31,50,first,-1,win
output.txt,800,32,50,second,-1,loss
output.txt,800,33,50,first,-1,win
output.txt,800,34,50,second,-1,loss
output.txt,800,35,50,first,-1,win
output.txt,800,36,50,second,-1,loss
output.txt,800,37,50,first,-1,win
output.txt,800,38,50,second,-1,loss
output.txt,800,39,50,first,-1,win
output.txt,800,40,50,second,1,win
output.txt,800,41,50,first,-1,win
output.txt,800,42,50,second,1,win
output.txt,800,43,50,first,1,loss
output.txt,800,44,50,second,1,win
output.txt,800,45,50,first,-1,win
output.txt,800,46,50,second,1,win
output.txt,800,47,50,first,-1,win
output.txt,800,48,50,second,1,win
output.txt,800,49,50,first,-1,win
output.txt,800,50,50,second,1,win
